,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
202,zp686o8m,200,https://www.speedrun.com/sm64/runs/zp686o8m,2024-04-04T04:52:54Z,492.0,492.0,8w1de74x,aflyingcougar,United States,N64,Yes
203,y6rdr5py,204,https://www.speedrun.com/sm64/runs/y6rdr5py,2020-10-25T19:31:46Z,493.0,493.0,jmo4ewn8,Mathematix,United States,EMU,Yes
204,ywx8qgpm,204,https://www.speedrun.com/sm64/runs/ywx8qgpm,2024-07-28T09:12:03Z,493.0,493.0,jm3z2mn8,ZtheSunflower,,EMU,Yes
205,z0o2xloz,206,https://www.speedrun.com/sm64/runs/z0o2xloz,2022-03-13T19:18:31Z,494.0,494.0,zx7gnyx7,Dwhatever,Germany,N64,Yes
206,yvredo4z,206,https://www.speedrun.com/sm64/runs/yvredo4z,2022-07-17T20:14:00Z,494.0,494.0,y8dz54gj,Maosfx,United States,N64,Yes
207,y88nlw1y,208,https://www.speedrun.com/sm64/runs/y88nlw1y,2022-07-12T23:47:45Z,495.0,495.0,5j5gwr68,Speedrun,United States,EMU,Yes
208,zgq230vy,208,https://www.speedrun.com/sm64/runs/zgq230vy,2022-09-14T10:00:43Z,495.0,495.0,8g547vyj,RealPrimeSub,United States,EMU,Yes
209,meeqdj9m,208,https://www.speedrun.com/sm64/runs/meeqdj9m,2023-04-15T16:13:03Z,495.0,495.0,v8l04qv8,Smurfy,Canada,N64,Yes
210,y863xpnm,208,https://www.speedrun.com/sm64/runs/y863xpnm,2023-04-26T16:12:34Z,495.0,495.0,86n94m0x,Joanbros,France,EMU,Yes
211,z0e5w04m,212,https://www.speedrun.com/sm64/runs/z0e5w04m,2017-06-20T05:33:28Z,496.0,496.0,e8e6edj0,GothicLogic,United Kingdom,N64,Yes
212,6yje93md,213,https://www.speedrun.com/sm64/runs/6yje93md,,497.0,497.0,,,,N64,Yes
213,z0ov6eoz,213,https://www.speedrun.com/sm64/runs/z0ov6eoz,2022-03-29T03:44:32Z,497.0,497.0,98rl4w38,HorrorDoesSpeedRuns,United States,N64,Yes
214,yvr8216z,215,https://www.speedrun.com/sm64/runs/yvr8216z,2022-06-08T04:56:36Z,498.0,498.0,qxkovr28,zach,United States,N64,Yes
215,yvppe38y,215,https://www.speedrun.com/sm64/runs/yvppe38y,2023-07-14T06:08:26Z,498.0,498.0,8v5nwrnj,Michaelguy,United States,EMU,Yes
216,y9vj7nrm,217,https://www.speedrun.com/sm64/runs/y9vj7nrm,2022-06-22T02:28:38Z,499.0,499.0,98rv2rdj,Perna64,United States,N64,Yes
217,m3v4v3qz,217,https://www.speedrun.com/sm64/runs/m3v4v3qz,2025-09-01T06:24:30Z,499.0,499.0,j2w1w5lj,RONC3NA,United States,N64,Yes
218,7ylpxkmp,219,https://www.speedrun.com/sm64/runs/7ylpxkmp,,500.0,500.0,,,,N64,No
219,zpw2n3gy,219,https://www.speedrun.com/sm64/runs/zpw2n3gy,2023-06-19T16:58:18Z,500.0,500.0,18q5www8,BigfootTouchedMe,Australia,EMU,Yes
220,zn93948y,219,https://www.speedrun.com/sm64/runs/zn93948y,2025-01-03T04:52:54Z,500.0,500.0,x72zygq8,Avasion,United States,N64,Yes
221,z004x74z,219,https://www.speedrun.com/sm64/runs/z004x74z,2025-08-31T04:35:52Z,500.0,500.0,j51r39z8,P_Luizon,Mexico,N64,No
222,zqeqv4xz,223,https://www.speedrun.com/sm64/runs/zqeqv4xz,2023-03-06T11:35:06Z,501.0,501.0,xk41ok7j,Cosmalano,,EMU,Yes
223,yvp92oey,224,https://www.speedrun.com/sm64/runs/yvp92oey,2023-05-28T09:51:22Z,502.0,502.0,pj0rd9mj,Gemini_,Australia,EMU,Yes
224,yvpon8xy,224,https://www.speedrun.com/sm64/runs/yvpon8xy,2023-06-18T01:36:17Z,502.0,502.0,pj0mn69x,B1GEY3DPYTH0N,,N64,Yes
225,yoq048jz,224,https://www.speedrun.com/sm64/runs/yoq048jz,2025-02-25T10:16:06Z,502.0,502.0,j5q9m3nj,SebMatey,United Kingdom,EMU,Yes
226,pzgjovz2,227,https://www.speedrun.com/sm64/runs/pzgjovz2,,503.0,503.0,,,,N64,Yes
227,yoeeo0dz,227,https://www.speedrun.com/sm64/runs/yoeeo0dz,2025-08-13T11:26:30Z,503.0,503.0,j2wnprnj,blupee,United States,EMU,Yes
228,9meng9m7,229,https://www.speedrun.com/sm64/runs/9meng9m7,2023-10-04T18:54:05Z,504.0,504.0,,,,N64,Yes
229,zgqn38ey,229,https://www.speedrun.com/sm64/runs/zgqn38ey,2022-08-01T04:20:58Z,504.0,504.0,v810d5rx,SubmarineCpt,United States,EMU,Yes
